"place","sex","age","health","occupational_group","count"
"ABERDEEN CITY","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",6
"ABERDEEN CITY","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"ABERDEENSHIRE","Male","16 to 24","Good Health","Large employers and higher managerial occupations",41
"ABERDEENSHIRE","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",4
"ABERDEENSHIRE","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"ABERDEENSHIRE","Male","25 to 34","Good Health","Large employers and higher managerial occupations",445
"ABERDEENSHIRE","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",37
"ABERDEENSHIRE","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",5
"ABERDEENSHIRE","Male","35 to 49","Good Health","Large employers and higher managerial occupations",1876
"ABERDEENSHIRE","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",259
"ABERDEENSHIRE","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",35
"ABERDEENSHIRE","Male","50 to 54","Good Health","Large employers and higher managerial occupations",538
"ABERDEENSHIRE","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",74
"ABERDEENSHIRE","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",20
"ABERDEENSHIRE","Male","55 to 59","Good Health","Large employers and higher managerial occupations",226
"ABERDEENSHIRE","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",67
"ABERDEENSHIRE","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",17
"ABERDEENSHIRE","Male","60 to 64","Good Health","Large employers and higher managerial occupations",122
"ABERDEENSHIRE","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",39
"ABERDEENSHIRE","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",8
"ABERDEENSHIRE","Male","65 to 74","Good Health","Large employers and higher managerial occupations",25
"ABERDEENSHIRE","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",3
"ABERDEENSHIRE","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",1
"ABERDEENSHIRE","Female","16 to 24","Good Health","Large employers and higher managerial occupations",17
"ABERDEENSHIRE","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",2
"ABERDEENSHIRE","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"ABERDEENSHIRE","Female","25 to 34","Good Health","Large employers and higher managerial occupations",178
"ABERDEENSHIRE","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",30
"ABERDEENSHIRE","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",2
"ABERDEENSHIRE","Female","35 to 49","Good Health","Large employers and higher managerial occupations",365
"ABERDEENSHIRE","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",59
"ABERDEENSHIRE","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",16
"ABERDEENSHIRE","Female","50 to 54","Good Health","Large employers and higher managerial occupations",83
"ABERDEENSHIRE","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",18
"ABERDEENSHIRE","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",10
"ABERDEENSHIRE","Female","55 to 59","Good Health","Large employers and higher managerial occupations",49
"ABERDEENSHIRE","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",7
"ABERDEENSHIRE","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",6
"ABERDEENSHIRE","Female","60 to 64","Good Health","Large employers and higher managerial occupations",23
"ABERDEENSHIRE","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",12
"ABERDEENSHIRE","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",2
"ABERDEENSHIRE","Female","65 to 74","Good Health","Large employers and higher managerial occupations",4
"ABERDEENSHIRE","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",7
"ABERDEENSHIRE","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"ANGUS","Male","16 to 24","Good Health","Large employers and higher managerial occupations",15
"ANGUS","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",1
"ANGUS","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"ANGUS","Male","25 to 34","Good Health","Large employers and higher managerial occupations",142
"ANGUS","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",17
"ANGUS","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",2
"ANGUS","Male","35 to 49","Good Health","Large employers and higher managerial occupations",570
"ANGUS","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",91
"ANGUS","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",17
"ANGUS","Male","50 to 54","Good Health","Large employers and higher managerial occupations",187
"ANGUS","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",43
"ANGUS","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",12
"ANGUS","Male","55 to 59","Good Health","Large employers and higher managerial occupations",118
"ANGUS","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",20
"ANGUS","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",4
"ANGUS","Male","60 to 64","Good Health","Large employers and higher managerial occupations",61
"ANGUS","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",15
"ANGUS","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",8
"ANGUS","Male","65 to 74","Good Health","Large employers and higher managerial occupations",10
"ANGUS","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",1
"ANGUS","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"ANGUS","Female","16 to 24","Good Health","Large employers and higher managerial occupations",9
"ANGUS","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",0
"ANGUS","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",2
"ANGUS","Female","25 to 34","Good Health","Large employers and higher managerial occupations",67
"ANGUS","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",11
"ANGUS","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",2
"ANGUS","Female","35 to 49","Good Health","Large employers and higher managerial occupations",158
"ANGUS","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",22
"ANGUS","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",8
"ANGUS","Female","50 to 54","Good Health","Large employers and higher managerial occupations",31
"ANGUS","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",9
"ANGUS","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",0
"ANGUS","Female","55 to 59","Good Health","Large employers and higher managerial occupations",27
"ANGUS","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",6
"ANGUS","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",1
"ANGUS","Female","60 to 64","Good Health","Large employers and higher managerial occupations",14
"ANGUS","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",4
"ANGUS","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",0
"ANGUS","Female","65 to 74","Good Health","Large employers and higher managerial occupations",4
"ANGUS","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"ANGUS","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"ARGYLL & BUTE","Male","16 to 24","Good Health","Large employers and higher managerial occupations",124
"ARGYLL & BUTE","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",40
"ARGYLL & BUTE","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"ARGYLL & BUTE","Male","25 to 34","Good Health","Large employers and higher managerial occupations",326
"ARGYLL & BUTE","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",40
"ARGYLL & BUTE","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",2
"ARGYLL & BUTE","Male","35 to 49","Good Health","Large employers and higher managerial occupations",502
"ARGYLL & BUTE","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",74
"ARGYLL & BUTE","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",19
"ARGYLL & BUTE","Male","50 to 54","Good Health","Large employers and higher managerial occupations",130
"ARGYLL & BUTE","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",35
"ARGYLL & BUTE","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",5
"ARGYLL & BUTE","Male","55 to 59","Good Health","Large employers and higher managerial occupations",106
"ARGYLL & BUTE","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",16
"ARGYLL & BUTE","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",16
"ARGYLL & BUTE","Male","60 to 64","Good Health","Large employers and higher managerial occupations",56
"ARGYLL & BUTE","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",12
"ARGYLL & BUTE","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",8
"ARGYLL & BUTE","Male","65 to 74","Good Health","Large employers and higher managerial occupations",13
"ARGYLL & BUTE","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",10
"ARGYLL & BUTE","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",1
"ARGYLL & BUTE","Female","16 to 24","Good Health","Large employers and higher managerial occupations",33
"ARGYLL & BUTE","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",1
"ARGYLL & BUTE","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"ARGYLL & BUTE","Female","25 to 34","Good Health","Large employers and higher managerial occupations",86
"ARGYLL & BUTE","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",14
"ARGYLL & BUTE","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",1
"ARGYLL & BUTE","Female","35 to 49","Good Health","Large employers and higher managerial occupations",125
"ARGYLL & BUTE","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",24
"ARGYLL & BUTE","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",4
"ARGYLL & BUTE","Female","50 to 54","Good Health","Large employers and higher managerial occupations",42
"ARGYLL & BUTE","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",7
"ARGYLL & BUTE","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",5
"ARGYLL & BUTE","Female","55 to 59","Good Health","Large employers and higher managerial occupations",21
"ARGYLL & BUTE","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",9
"ARGYLL & BUTE","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",3
"ARGYLL & BUTE","Female","60 to 64","Good Health","Large employers and higher managerial occupations",10
"ARGYLL & BUTE","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",6
"ARGYLL & BUTE","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",0
"ARGYLL & BUTE","Female","65 to 74","Good Health","Large employers and higher managerial occupations",5
"ARGYLL & BUTE","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"ARGYLL & BUTE","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"CLACKMANNANSHIRE","Male","16 to 24","Good Health","Large employers and higher managerial occupations",7
"CLACKMANNANSHIRE","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",2
"CLACKMANNANSHIRE","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"CLACKMANNANSHIRE","Male","25 to 34","Good Health","Large employers and higher managerial occupations",84
"CLACKMANNANSHIRE","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",4
"CLACKMANNANSHIRE","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",2
"CLACKMANNANSHIRE","Male","35 to 49","Good Health","Large employers and higher managerial occupations",246
"CLACKMANNANSHIRE","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",50
"CLACKMANNANSHIRE","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",8
"CLACKMANNANSHIRE","Male","50 to 54","Good Health","Large employers and higher managerial occupations",84
"CLACKMANNANSHIRE","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",21
"CLACKMANNANSHIRE","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",6
"CLACKMANNANSHIRE","Male","55 to 59","Good Health","Large employers and higher managerial occupations",50
"CLACKMANNANSHIRE","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",21
"CLACKMANNANSHIRE","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",3
"CLACKMANNANSHIRE","Male","60 to 64","Good Health","Large employers and higher managerial occupations",22
"CLACKMANNANSHIRE","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",10
"CLACKMANNANSHIRE","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",5
"CLACKMANNANSHIRE","Male","65 to 74","Good Health","Large employers and higher managerial occupations",1
"CLACKMANNANSHIRE","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",1
"CLACKMANNANSHIRE","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"CLACKMANNANSHIRE","Female","16 to 24","Good Health","Large employers and higher managerial occupations",8
"CLACKMANNANSHIRE","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",3
"CLACKMANNANSHIRE","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"CLACKMANNANSHIRE","Female","25 to 34","Good Health","Large employers and higher managerial occupations",34
"CLACKMANNANSHIRE","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",5
"CLACKMANNANSHIRE","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",1
"CLACKMANNANSHIRE","Female","35 to 49","Good Health","Large employers and higher managerial occupations",66
"CLACKMANNANSHIRE","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",13
"CLACKMANNANSHIRE","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",3
"CLACKMANNANSHIRE","Female","50 to 54","Good Health","Large employers and higher managerial occupations",18
"CLACKMANNANSHIRE","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",3
"CLACKMANNANSHIRE","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",3
"CLACKMANNANSHIRE","Female","55 to 59","Good Health","Large employers and higher managerial occupations",5
"CLACKMANNANSHIRE","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",4
"CLACKMANNANSHIRE","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",1
"CLACKMANNANSHIRE","Female","60 to 64","Good Health","Large employers and higher managerial occupations",4
"CLACKMANNANSHIRE","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",5
"CLACKMANNANSHIRE","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",1
"CLACKMANNANSHIRE","Female","65 to 74","Good Health","Large employers and higher managerial occupations",0
"CLACKMANNANSHIRE","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"CLACKMANNANSHIRE","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"DUMFRIES & GALLOWAY","Male","16 to 24","Good Health","Large employers and higher managerial occupations",20
"DUMFRIES & GALLOWAY","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",6
"DUMFRIES & GALLOWAY","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",2
"DUMFRIES & GALLOWAY","Male","25 to 34","Good Health","Large employers and higher managerial occupations",98
"DUMFRIES & GALLOWAY","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",19
"DUMFRIES & GALLOWAY","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",4
"DUMFRIES & GALLOWAY","Male","35 to 49","Good Health","Large employers and higher managerial occupations",473
"DUMFRIES & GALLOWAY","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",73
"DUMFRIES & GALLOWAY","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",19
"DUMFRIES & GALLOWAY","Male","50 to 54","Good Health","Large employers and higher managerial occupations",162
"DUMFRIES & GALLOWAY","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",36
"DUMFRIES & GALLOWAY","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",10
"DUMFRIES & GALLOWAY","Male","55 to 59","Good Health","Large employers and higher managerial occupations",110
"DUMFRIES & GALLOWAY","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",23
"DUMFRIES & GALLOWAY","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",12
"DUMFRIES & GALLOWAY","Male","60 to 64","Good Health","Large employers and higher managerial occupations",53
"DUMFRIES & GALLOWAY","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",23
"DUMFRIES & GALLOWAY","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",6
"DUMFRIES & GALLOWAY","Male","65 to 74","Good Health","Large employers and higher managerial occupations",16
"DUMFRIES & GALLOWAY","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",4
"DUMFRIES & GALLOWAY","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",1
"DUMFRIES & GALLOWAY","Female","16 to 24","Good Health","Large employers and higher managerial occupations",10
"DUMFRIES & GALLOWAY","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",1
"DUMFRIES & GALLOWAY","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"DUMFRIES & GALLOWAY","Female","25 to 34","Good Health","Large employers and higher managerial occupations",63
"DUMFRIES & GALLOWAY","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",15
"DUMFRIES & GALLOWAY","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",0
"DUMFRIES & GALLOWAY","Female","35 to 49","Good Health","Large employers and higher managerial occupations",146
"DUMFRIES & GALLOWAY","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",26
"DUMFRIES & GALLOWAY","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",5
"DUMFRIES & GALLOWAY","Female","50 to 54","Good Health","Large employers and higher managerial occupations",40
"DUMFRIES & GALLOWAY","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",11
"DUMFRIES & GALLOWAY","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",4
"DUMFRIES & GALLOWAY","Female","55 to 59","Good Health","Large employers and higher managerial occupations",28
"DUMFRIES & GALLOWAY","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",8
"DUMFRIES & GALLOWAY","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",2
"DUMFRIES & GALLOWAY","Female","60 to 64","Good Health","Large employers and higher managerial occupations",16
"DUMFRIES & GALLOWAY","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",4
"DUMFRIES & GALLOWAY","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",0
"DUMFRIES & GALLOWAY","Female","65 to 74","Good Health","Large employers and higher managerial occupations",1
"DUMFRIES & GALLOWAY","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"DUMFRIES & GALLOWAY","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"DUNDEE CITY","Male","16 to 24","Good Health","Large employers and higher managerial occupations",23
"DUNDEE CITY","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",2
"DUNDEE CITY","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"DUNDEE CITY","Male","25 to 34","Good Health","Large employers and higher managerial occupations",155
"DUNDEE CITY","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",18
"DUNDEE CITY","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",6
"DUNDEE CITY","Male","35 to 49","Good Health","Large employers and higher managerial occupations",476
"DUNDEE CITY","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",70
"DUNDEE CITY","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",21
"DUNDEE CITY","Male","50 to 54","Good Health","Large employers and higher managerial occupations",138
"DUNDEE CITY","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",25
"DUNDEE CITY","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",22
"DUNDEE CITY","Male","55 to 59","Good Health","Large employers and higher managerial occupations",100
"DUNDEE CITY","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",32
"DUNDEE CITY","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",14
"DUNDEE CITY","Male","60 to 64","Good Health","Large employers and higher managerial occupations",57
"DUNDEE CITY","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",27
"DUNDEE CITY","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",7
"DUNDEE CITY","Male","65 to 74","Good Health","Large employers and higher managerial occupations",9
"DUNDEE CITY","Male","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"DUNDEE CITY","Male","65 to 74","Not Good Health","Large employers and higher managerial occupations",0
"DUNDEE CITY","Female","16 to 24","Good Health","Large employers and higher managerial occupations",12
"DUNDEE CITY","Female","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",1
"DUNDEE CITY","Female","16 to 24","Not Good Health","Large employers and higher managerial occupations",1
"DUNDEE CITY","Female","25 to 34","Good Health","Large employers and higher managerial occupations",77
"DUNDEE CITY","Female","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",16
"DUNDEE CITY","Female","25 to 34","Not Good Health","Large employers and higher managerial occupations",6
"DUNDEE CITY","Female","35 to 49","Good Health","Large employers and higher managerial occupations",150
"DUNDEE CITY","Female","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",24
"DUNDEE CITY","Female","35 to 49","Not Good Health","Large employers and higher managerial occupations",8
"DUNDEE CITY","Female","50 to 54","Good Health","Large employers and higher managerial occupations",35
"DUNDEE CITY","Female","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",10
"DUNDEE CITY","Female","50 to 54","Not Good Health","Large employers and higher managerial occupations",4
"DUNDEE CITY","Female","55 to 59","Good Health","Large employers and higher managerial occupations",17
"DUNDEE CITY","Female","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",4
"DUNDEE CITY","Female","55 to 59","Not Good Health","Large employers and higher managerial occupations",1
"DUNDEE CITY","Female","60 to 64","Good Health","Large employers and higher managerial occupations",14
"DUNDEE CITY","Female","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",6
"DUNDEE CITY","Female","60 to 64","Not Good Health","Large employers and higher managerial occupations",1
"DUNDEE CITY","Female","65 to 74","Good Health","Large employers and higher managerial occupations",4
"DUNDEE CITY","Female","65 to 74","Fairly Good Health","Large employers and higher managerial occupations",2
"DUNDEE CITY","Female","65 to 74","Not Good Health","Large employers and higher managerial occupations",1
"EAST AYRSHIRE","Male","16 to 24","Good Health","Large employers and higher managerial occupations",23
"EAST AYRSHIRE","Male","16 to 24","Fairly Good Health","Large employers and higher managerial occupations",2
"EAST AYRSHIRE","Male","16 to 24","Not Good Health","Large employers and higher managerial occupations",0
"EAST AYRSHIRE","Male","25 to 34","Good Health","Large employers and higher managerial occupations",162
"EAST AYRSHIRE","Male","25 to 34","Fairly Good Health","Large employers and higher managerial occupations",34
"EAST AYRSHIRE","Male","25 to 34","Not Good Health","Large employers and higher managerial occupations",4
"EAST AYRSHIRE","Male","35 to 49","Good Health","Large employers and higher managerial occupations",488
"EAST AYRSHIRE","Male","35 to 49","Fairly Good Health","Large employers and higher managerial occupations",71
"EAST AYRSHIRE","Male","35 to 49","Not Good Health","Large employers and higher managerial occupations",17
"EAST AYRSHIRE","Male","50 to 54","Good Health","Large employers and higher managerial occupations",153
"EAST AYRSHIRE","Male","50 to 54","Fairly Good Health","Large employers and higher managerial occupations",42
"EAST AYRSHIRE","Male","50 to 54","Not Good Health","Large employers and higher managerial occupations",8
"EAST AYRSHIRE","Male","55 to 59","Good Health","Large employers and higher managerial occupations",95
"EAST AYRSHIRE","Male","55 to 59","Fairly Good Health","Large employers and higher managerial occupations",25
"EAST AYRSHIRE","Male","55 to 59","Not Good Health","Large employers and higher managerial occupations",8
"EAST AYRSHIRE","Male","60 to 64","Good Health","Large employers and higher managerial occupations",45
"EAST AYRSHIRE","Male","60 to 64","Fairly Good Health","Large employers and higher managerial occupations",22
"EAST AYRSHIRE","Male","60 to 64","Not Good Health","Large employers and higher managerial occupations",7
"EAST AYRSHIRE","Male","65 to 74","Good Health","Large employers and higher managerial occupations",7
